text,label,importance
"Publicis' CEO dismisses Meta threat, raises yearly growth guidance. French advertising firm Publicis on Thursday raised its full-year organic growth forecast following stronger-than-expected second-quarter results, as CEO Arthur Sadoun dismissed concerns over Meta's AI-powered ad creation system.",positive,importante
Swedbank net profit beats forecast amid market uncertainty. Swedish banking group Swedbank reported a net profit for the second quarter that beat market expectations on Thursday but said the global economy remained marked by uncertainty with weakening activity in its main market Sweden.,positive,importante
"TSMC Q2 profit surges 60%, reaches historic high. TSMC , the world's largest contract chipmaker, posted a 60.7% jump in second-quarter net profit on Thursday, beating market forecasts and hitting a historic high as it benefited from surging demand for semiconductors used in artificial intelligence applications.",positive,importante
Viaplay buys remaining stake in Allente from Telenor. Swedish streaming group Viaplay Group said on Thursday it had agreed to buy the remaining 50% stake in Allente Group from Norway's Telenor for 1.1 billion Swedish crowns ($113 million).,positive,générale
"Couche-Tard pulls $47 billion bid for Japan's Seven & i. Canadian retailer Alimentation Couche-Tard withdrew its $47-billion takeover offer for Japan's Seven & i Holdings , blaming a lack of constructive engagement by the Japanese retailer.",positive,critique
"Britain's Ocado says core priority to turn cash flow positive in 2025/26. Ocado , the British online supermarket and technology group, said its core priority was to turn cash flow positive in its next financial year, as it reported a 76.5% rise in underlying earnings in its first half on Thursday.",negative,importante
"Lattice and Mitsubishi Electric Collaborate to Deliver Next-Gen Industrial Automation Experiences. HILLSBORO, Ore.--(BUSINESS WIRE)---- $LSCC #CNC--Lattice Semiconductor (NASDAQ: LSCC), the low power programmable leader, today announced its low power Lattice CertusPro™-NX FPGAs now enable Mitsubishi Electric's Computerized Numerical Controller (CNC) solutions to bring power efficient and reliable factory automation experiences. This collaboration was announced at the Lattice APAC Tech Summit in Tokyo, where Mitsubishi Electric participated as a guest keynote speaker. Hosted today, Lattice APAC Tech Summit.",positive,générale
"NOVARTIS APPOINTS MUKUL MEHTA AS CHIEF FINANCIAL OFFICER, AS HARRY KIRSCH RETIRES AFTER 22 YEARS WITH THE COMPANY. AD HOC ANNOUNCEMENT PURSUANT TO ART. 53 LR MUKUL MEHTA, CURRENTLY HEAD OF BUSINESS PLANNING AND ANALYSIS (BPA), DIGITAL FINANCE AND TAX, HAS BEEN APPOINTED CHIEF FINANCIAL OFFICER, EFFECTIVE MARCH 16, 2026, AND WILL JOIN THE EXECUTIVE COMMITTEE (ECN) AFTER AN EXTRAORDINARY 22-YEAR CAREER AT NOVARTIS AND MORE THAN 12 YEARS AS A MEMBER OF THE ECN, HARRY KIRSCH WILL RETIRE AND STEP DOWN FROM THE ECN ON MARCH 15, 2026 BASEL, JULY 17, 2025 – NOVARTIS ANNOUNCED TODAY THE APPOINTMENT OF MUKUL MEHTA AS THE CHIEF FINANCIAL OFFICER (CFO) AND A MEMBER OF THE EXECUTIVE COMMITTEE OF NOVARTIS (ECN), EFFECTIVE MARCH 16, 2026.",positive,générale
"ADX: Solid Equity CEF But Expensive (Rating Downgrade). ADX offers high income and blue-chip exposure, but its current valuation is less attractive, trading at the lowest NAV discount in a decade. The fund prioritizes distributions over capital appreciation, making it best suited for income-focused investors rather than those seeking growth. Recent changes to the distribution policy provide more consistent payouts, but tax efficiency remains a concern for non-tax-advantaged accounts.",positive,importante
"The OneSight EssilorLuxottica Foundation Sets New Pace in Africa with One Million People Reached in Six Months of 2025. NAIROBI, Kenya, July 17, 2025 (GLOBE NEWSWIRE) -- The OneSight EssilorLuxottica Foundation has reached a major milestone in the fight against the global vision crisis: over one million people across Africa have received a pair of eyeglasses since January 2025, as part of an urgent effort to address the continent's unmet need for good vision. Globally, an estimated 2.7 billion people live with uncorrected poor vision, mostly from refractive errors that can be easily corrected with eyeglasses.",positive,importante
